Catalogue number,State,Country,county,latitude,longitude,Zones,Taxon
UMMZ 61045,MI,USA,Alpena county,45.0176181,-83.6670019,Mixed Woodlands,Odocoileus virginianus
UMMZ 61053,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus
UMMZ 61053,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus
UMMZ 61062,MI,USA,Alpena county,45.0176181,-83.6670019,Mixed Woodlands,Odocoileus virginianus
UMMZ 61073,MI,USA,Chippewa county,46.3117,-84.5932,Mixed Woodlands,Odocoileus virginianus
UMMZ 61083,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus
UMMZ 61093,MI,USA,Chippewa county,46.3117,-84.5932,Mixed Woodlands,Odocoileus virginianus
UMMZ 61097,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus
UMMZ 61114,MI,USA,Houghton county,46.8591287,-88.7774734,Mixed Woodlands,Odocoileus virginianus
UMMZ 61117,MI,USA,Chippewa county,46.3117,-84.5932,Mixed Woodlands,Odocoileus virginianus
UMMZ 61118,MI,USA,Chippewa county,46.3117,-84.5932,Mixed Woodlands,Odocoileus virginianus
UMMZ 61125,MI,USA,Alpena county,45.0176181,-83.6670019,Mixed Woodlands,Odocoileus virginianus
UMMZ 61129,MI,USA,Oscoda county,44.6789109,-84.1467693,Mixed Woodlands,Odocoileus virginianus
UMMZ 61143,MI,USA,Chippewa county,46.3117,-84.5932,Mixed Woodlands,Odocoileus virginianus
UMMZ 61144,MI,USA,Crawford county,44.6524,-84.6897,Mixed Woodlands,Odocoileus virginianus
UMMZ 61152,MI,USA,Alpena county,45.0176181,-83.6670019,Mixed Woodlands,Odocoileus virginianus
UMMZ 61167,MI,USA,Alpena county,45.0176181,-83.6670019,Mixed Woodlands,Odocoileus virginianus
UMMZ 61168,MI,USA,Keeweewaw,47.7516,-88.3249,Mixed Woodlands,Odocoileus virginianus
UMMZ 61172,MI,USA,Gogebic county,46.403433,-89.6626791,Mixed Woodlands,Odocoileus virginianus
UMMZ 61179,MI,USA,Gogebic county,46.403433,-89.6626791,Mixed Woodlands,Odocoileus virginianus
UMMZ 61184,MI,USA,Gogebic county,46.403433,-89.6626791,Mixed Woodlands,Odocoileus virginianus
UMMZ 61192,MI,USA,Houghton county,46.8591287,-88.7774734,Mixed Woodlands,Odocoileus virginianus
UMMZ 61194,MI,USA,Calhoun county,42.2074,-85.0233,Closed Woodlands,Odocoileus virginianus
UMMZ 61213,MI,USA,Calhoun county,42.2074,-85.0233,Closed Woodlands,Odocoileus virginianus
UMMZ 61221,MI,USA,Gogebic county,46.403433,-89.6626791,Mixed Woodlands,Odocoileus virginianus
UMMZ 65470,MI,USA,Gogebic county,46.403433,-89.6626791,Mixed Woodlands,Odocoileus virginianus
UMMZ 65471,MI,USA,Gogebic county,46.403433,-89.6626791,Mixed Woodlands,Odocoileus virginianus
UMMZ 65530,TX,USA,Blanco county,30.2419274,-98.4004594,Grassland,Odocoileus virginianus
UMMZ 76253,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 76264,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 76269,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
